Modulename,LastUpdated,URL
SQLUndercoverinspectorV2.sql,15/11/2021,https://raw.githubusercontent.com/SQLUndercover/UndercoverToolbox/Inspector-Dev/SQLUndercoverInspector/SQLUndercoverinspectorV2.sql
Inspector_CPU_CustomModule.sql,20/07/2021,https://raw.githubusercontent.com/SQLUndercover/UndercoverToolbox/Inspector-Dev/SQLUndercoverInspector/V2%20-%20Additional%20files/Inspector_CPU_CustomModule.sql
Inspector_Catalogue_CustomModule.sql,03/12/2020,https://raw.githubusercontent.com/SQLUndercover/UndercoverToolbox/Inspector-Dev/SQLUndercoverInspector/V2%20-%20Additional%20files/Inspector_Catalogue_CustomModule.sql
Inspector_BlitzWaits_CustomModule.sql,03/12/2020,https://raw.githubusercontent.com/SQLUndercover/UndercoverToolbox/Inspector-Dev/SQLUndercoverInspector/V2%20-%20Additional%20files/Inspector_BlitzWaits_CustomModule.sql
Inspector_BlitzFileStats_CustomModule.sql,03/12/2020,https://raw.githubusercontent.com/SQLUndercover/UndercoverToolbox/Inspector-Dev/SQLUndercoverInspector/V2%20-%20Additional%20files/Inspector_BlitzFileStats_CustomModule.sql
